================================================================================
CURVA CARGA-DEFLEXION - DATOS TABULADOS
================================================================================

Pilote: L=20.0m, D=1.0m, E=25.0GPa
Modelo: Lineal (Winkler) vs No Lineal (Duncan-Chang)

--------------------------------------------------------------------------------
  Carga (kN)   y_lineal (mm)   y_no_lineal (mm)   Diferencia (%)      Ratio
--------------------------------------------------------------------------------
         0.0            0.00               0.00            +nan%       nan
        50.0            2.81               2.92            +3.9%     1.039
       100.0            5.63               6.16            +9.4%     1.094
       150.0            8.44               9.72           +15.2%     1.152
       200.0           11.25              13.64           +21.2%     1.212
       250.0           14.07              17.94           +27.6%     1.276
       300.0           16.88              22.65           +34.2%     1.342
       350.0           19.69              27.81           +41.2%     1.412
       400.0           22.50              33.43           +48.5%     1.485
       450.0           25.32              39.55           +56.2%     1.562
       500.0           28.13              46.21           +64.3%     1.643
       550.0           30.94              53.43           +72.7%     1.727
       600.0           33.76              61.25           +81.4%     1.814
       650.0           36.57              69.70           +90.6%     1.906
       700.0           39.38              78.81          +100.1%     2.001
       750.0           42.20              88.62          +110.0%     2.100
       800.0           45.01              99.14          +120.3%     2.203
       850.0           47.82             110.42          +130.9%     2.309
       900.0           50.64             122.48          +141.9%     2.419
       950.0           53.45             135.34          +153.2%     2.532
      1000.0           56.26             149.03          +164.9%     2.649
      1050.0           59.07             163.56          +176.9%     2.769
      1100.0           61.89             178.95          +189.2%     2.892
      1150.0           64.70             195.22          +201.7%     3.017
      1200.0           67.51             212.36          +214.5%     3.145
      1250.0           70.33             230.35          +227.5%     3.275
      1300.0           73.14             249.21          +240.7%     3.407
      1350.0           75.95             268.94          +254.1%     3.541
      1400.0           78.77             289.54          +267.6%     3.676
      1450.0           81.58             311.00          +281.2%     3.812
      1500.0           84.39             333.30          +294.9%     3.949
      1550.0           87.21             356.44          +308.7%     4.087
      1600.0           90.02             380.40          +322.6%     4.226
      1650.0           92.83             405.17          +336.5%     4.365
      1700.0           95.64             430.74          +350.4%     4.504
      1750.0           98.46             457.09          +364.3%     4.643
      1800.0          101.27             484.22          +378.1%     4.781
--------------------------------------------------------------------------------
